barcode,created_by,created_at,message
3981754496806,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754003707,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754004711,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754000676,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
3981754363689,aw42@sanger.ac.uk,2024-07-26 11:00:00,Destroying location,
DN693735P,aw42@sanger.ac.uk,2024-07-24 11:00:00,Destroying labware,
3981665906807,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981662327780,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981662328794,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981664812710,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981664813724,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981673359725,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981665032780,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981662182792,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981665033794,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981657308671,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981657309685,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981662110863,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981662114670,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981662115684,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981662180774,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981662181788,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981585535774,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981665929875,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981665930802,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981665932820,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981665933834,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981665931816,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981652921851,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981665934848,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981666122831,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981657305878,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981657306653,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981657307667,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981662113666,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981662123689,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981662126710,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981662130670,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981662131684,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981662111877,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981662112652,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981662117701,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981662119729,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981662121661,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981662122675,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981662124693,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981662125706,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981665936866,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981665937870,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981665939669,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981665938655,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981665935852,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981665921794,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981665922807,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981666334708,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981666335712,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location,
3981666336726,aw42@sanger.ac.uk,2024-07-18 15:30:00,Destroying location
